label,comX,comY,comZ,SA,vol,sphericity,maxFeret,minFeret,aspectRatio
390.0,1.0608e-05,4.792e-06,1.395e-06,5.867634116531602e-13,1.6617599999999998e-20,0.5367021067367703,6.128624121945658e-07,3.046349379763805e-07,0.4790681681407099
391.0,8.768e-06,1.696e-06,5.94e-06,4.470764887822672e-13,1.6724159999999998e-20,0.7074001847584483,6.389552599425354e-07,2.2768036672919935e-07,0.3881873910972689
392.0,8.048e-06,3.4160000000000004e-06,4.365e-06,4.449882460502507e-13,1.675008e-20,0.7114540269786092,6.288143389276562e-07,2.984740487136265e-07,0.326688150494875
393.0,8.960000000000001e-07,7.336e-06,2.52e-06,4.4197051441178133e-13,1.6934399999999997e-20,0.7215570985413188,5.322150837217283e-07,3.070217555651749e-07,0.4658037319131602
394.0,3.2080000000000005e-06,4.136e-06,2.295e-06,5.100715594876227e-13,1.7040960000000003e-20,0.627840104497527,6.830735567012999e-07,2.637215694818197e-07,0.2314969304458792
395.0,6.16e-07,1.168e-06,7.514999999999999e-06,4.3956316251166045e-13,1.7092799999999998e-20,0.7300259686067453,5.18025136083487e-07,2.642291390084722e-07,0.4277437205937034
396.0,5.336e-06,2.2880000000000004e-06,6.164999999999999e-06,5.954706385991704e-13,1.7231040000000002e-20,0.5417905586809076,6.536543446834654e-07,3.3518531081333004e-07,0.3015326040497002
397.0,8.408e-06,5.392e-06,8.955e-06,4.1168640208030964e-13,1.7311680000000003e-20,0.7860987018045896,4.791237984801703e-07,2.899321223868406e-07,0.4534981121107377
398.0,3.5920000000000005e-06,7.616e-06,5.76e-06,5.746721466139835e-13,1.7380800000000002e-20,0.5646471639538594,7.489031340510497e-07,2.961882424774124e-07,0.2687809778093277
399.0,6.472e-06,2.3280000000000004e-06,5.76e-06,3.863661503707153e-13,1.7426879999999998e-20,0.8413269759647196,4.923666989673664e-07,3.025853469994926e-07,0.4747596155757894
400.0,3.064e-06,8.016e-06,9.45e-07,5.123805321725688e-13,1.7576640000000003e-20,0.6380412284607683,6.138059522906563e-07,2.78428098221745e-07,0.5008767367334486
401.0,7.92e-06,5.416e-06,8.910000000000001e-06,4.4658052236523113e-13,1.7683200000000003e-20,0.7350071881655429,5.88867483813095e-07,2.720007614698261e-07,0.3666223521166285
402.0,7.344e-06,3.896e-06,6.254999999999999e-06,4.760515401899644e-13,1.7853120000000002e-20,0.6939149315039385,6.857491705057049e-07,2.701906331171275e-07,0.2801318765395996
403.0,9.544e-06,1.424e-06,2.835e-06,5.137050349356679e-13,1.7962559999999998e-20,0.6456777040408866,5.960928262175727e-07,3.618585776017242e-07,0.4372231506254944
404.0,2.448e-06,2.064e-06,3.5100000000000003e-06,4.150411787121164e-13,1.8273599999999998e-20,0.8083678130933855,4.447371030802882e-07,3.519999154377729e-07,0.7675661307554921
405.0,6.4e-07,8.856e-06,3.645e-06,5.319100069302682e-13,1.841184e-20,0.6339340681483484,7.163953153734933e-07,2.967003707244242e-07,0.3186712817659263
406.0,2.2640000000000003e-06,3.232e-06,4.679999999999999e-06,4.65083582529141e-13,1.8417599999999998e-20,0.7251733014126294,5.100131561417822e-07,3.149998519802466e-07,0.6362550327801118
407.0,6.672e-06,1.12e-06,7.514999999999999e-06,4.722202880507371e-13,1.8463680000000003e-20,0.7154044860540936,6.163951462825652e-07,3.1205607329695164e-07,0.4961595860552555
408.0,8.768e-06,6.032e-06,2.655e-06,5.074742736747909e-13,1.872288e-20,0.6719214875045142,5.848760368320483e-07,2.8482778475375884e-07,0.4107675105211797
409.0,7.784e-06,3.952e-06,6.254999999999999e-06,5.073268212517905e-13,1.885536e-20,0.6752835760936777,5.523531363905614e-07,3.150003067275975e-07,0.5399671925173186
410.0,2.2320000000000004e-06,3.832e-06,4.005e-06,4.3747590567584384e-13,1.987776e-20,0.811163276387703,4.923665696879586e-07,3.160787999401643e-07,0.5984229406757604
411.0,3.272e-06,5.12e-07,7.604999999999999e-06,7.067006508055608e-13,2.008512e-20,0.5056285487896839,8.355135604524953e-07,2.482233952304705e-07,0.1543341132615459
