synLabel,vesLabel,OG_Ves_X,OG_Ves_Y,OG_Ves_Z,Ves_X,Ves_Y,Ves_Z,Syn_X,Syn_Y,Syn_Z,VectorAngle,Intersect,IOU,IOS
40,956,1.1876232292706845e-05,7.754767239021021e-06,5.599269570666365e-06,1.1876264579768758e-05,7.758334049867699e-06,5.599191581495688e-06,1.1882760645676171e-05,7.75473381509073e-06,5.344419832908898e-06,0.8018591058438371,25365,0.24679886354791003,1.0
41,1245,9.686827070254367e-06,8.81989581102971e-06,5.143939233676065e-06,1.031460033118492e-05,8.292748361782287e-06,4.623772383638425e-06,9.595660685590701e-06,8.729743512958521e-06,4.146693754591979e-06,58.927200044177226,2560,0.03180874989127869,0.8966725043782837
42,1259,9.777399100130424e-06,1.4500834822683828e-05,5.649031891152845e-06,9.743220289237797e-06,1.4456353255809518e-05,5.5706730108795455e-06,9.644069905334618e-06,1.4547176760970615e-05,4.683490715251537e-06,3.424046489804761,2543,0.029911664725878355,1.0
43,1132,1.1426869150454877e-05,9.219888397637988e-06,3.712737566274882e-06,1.1112046649941476e-05,8.708146651770221e-06,3.418587766645942e-06,1.1337709111103322e-05,9.149853212875314e-06,3.0833530217933003e-06,65.30798853890262,6324,0.09293576498596558,0.992
44,764,1.6836688701005187e-05,1.0061241027869983e-05,2.1061114239273593e-06,1.6879722352314275e-05,1.0062127785204211e-05,2.136876560143719e-06,1.6815961316751782e-05,1.0076887065224582e-05,1.9080574134022754e-06,9.618007804088021,32788,0.40687977762334954,0.7962117532782904
45,527,1.63805452757515e-05,1.4973954876040807e-05,6.333405281111482e-06,1.64564671649714e-05,1.4935236777091632e-05,6.313791118373047e-06,1.638489447941538e-05,1.4973845736676594e-05,6.193598437675973e-06,35.6796703425669,37570,0.2968599377360578,0.5451564223112194
46,1012,1.0474498594703618e-05,1.4917684893589467e-05,2.33363834922784e-06,1.0549470516707515e-05,1.4706548881804338e-05,2.369415028624644e-06,1.042004078044556e-05,1.4846727026451845e-05,2.0164063698757673e-06,34.43153123937393,12964,0.15822877508177513,0.8495412844036697
47,921,8.92908064997755e-06,1.0515335816307925e-05,7.66364252058338e-07,9.135657819570042e-06,1.0517717328184517e-05,6.785781181406492e-07,8.957427780842409e-06,1.0518001545278821e-05,5.165781686855553e-07,54.2071413988934,22311,0.23364994920880938,1.0
48,835,1.3117568869347451e-05,1.4745053249498596e-05,6.559991021504175e-07,1.3265531379147433e-05,1.45675858220784e-05,6.186182730516521e-07,1.3121602478349814e-05,1.4729566828464158e-05,3.5504257311913534e-07,42.15425838426445,16512,0.16614177189716758,0.5301994027550332
49,744,1.3743325780524174e-05,9.226616839441704e-06,4.232208766552503e-06,1.3713874977838714e-05,9.226879683410516e-06,4.223975111017353e-06,1.3748739092989126e-05,9.231655440089526e-06,4.095644953849842e-06,12.920537608469123,44153,0.37910309358015576,0.9076202026846465
50,762,1.1283796084171627e-05,1.4283993095887126e-05,5.252591563476017e-06,1.1279999853286427e-05,1.4250780168367783e-05,5.225094355409965e-06,1.1284348602202954e-05,1.428978112016921e-05,5.081003791929106e-06,13.294371208136392,58702,0.42098997403864086,0.9784808227626557
51,925,1.1583451396290911e-05,1.5240997072396567e-05,9.53044354901067e-06,1.1760696452256525e-05,1.5245628219417995e-05,9.497352493781364e-06,1.1569838079594774e-05,1.5237406387313968e-05,9.111855888477294e-06,24.482126158819696,15004,0.19296756436967874,0.7067357512953368
52,996,9.037848030857276e-06,1.1524876754265279e-05,8.604849881521659e-06,9.01866405911278e-06,1.158976056103711e-05,8.57721579450299e-06,8.950437859311933e-06,1.1559644917724654e-05,8.267081284429878e-06,11.3049979414235,18102,0.18004774219216232,0.929022324865281
53,962,1.520124715170823e-05,7.341642458413844e-06,1.8314933640795061e-06,1.5096942661330104e-05,7.20707521395525e-06,1.797015045212902e-06,1.5188018096523592e-05,7.328390211114311e-06,1.3275118817546172e-06,20.014707950889907,14280,0.1938479081258654,0.9562073121735637
54,1260,1.0482767720532138e-05,1.0857766028493643e-05,3.6745025226991856e-06,1.0884592029469786e-05,1.1649188763840357e-05,3.2986596920636657e-06,1.0483777714398457e-05,1.0751246463769348e-05,1.8374430510448292e-06,30.948580032760677,1052,0.01843867213517019,0.6734955185659411
55,1056,1.0371243661211338e-05,6.421720172511414e-06,6.1583791648445185e-06,1.0230727639282122e-05,6.466865670518018e-06,6.149814225864247e-06,1.0359578027419047e-05,6.442092626457452e-06,5.918203441979131e-06,33.41565448826049,18968,0.15977896457031185,0.991376156379031
56,914,1.1746974905690877e-05,1.1867017747135833e-05,7.926981652417453e-06,1.1746974905690877e-05,1.1688584891089704e-05,7.922977601992898e-06,1.1746974905690877e-05,1.18448137982341e-05,7.736108273093123e-06,46.53202260981595,15216,0.15869340759050093,0.8521028168225345
57,1086,1.736361900839256e-05,1.4187775377649814e-05,7.65795242330114e-07,1.7282101907767355e-05,1.4062738046050072e-05,7.603179881243705e-07,1.735208206810057e-05,1.4184783140080981e-05,2.8742011437543624e-07,17.59429941161289,10554,0.12474292603361464,0.9727188940092166
58,604,8.829712442093296e-06,1.1432926839916036e-05,4.429550244822167e-06,8.78678747540107e-06,1.1433050531195477e-05,4.418675416673068e-06,8.819687081995653e-06,1.143073313869536e-05,4.303719379095128e-06,20.52288235352366,46947,0.4023189449057768,0.6743611474208886
59,954,1.2317672371864319e-05,9.881126970867626e-06,1.2556563433463452e-06,1.2324831914156675e-05,9.811712061491562e-06,1.263906142412452e-06,1.2324841918598395e-05,9.897244126477744e-06,9.6982032005144e-07,13.066722351560374,28207,0.28943318010178953,0.8595240271810343
60,750,1.1609837656578748e-05,1.0131404906132957e-05,7.5984353316016495e-06,1.1639679087238619e-05,1.0172490419790847e-05,7.558167908428004e-06,1.1606151929299813e-05,1.012261373034562e-05,7.402584969895543e-06,18.394062791669228,49736,0.45356800875473074,0.791684574120943
61,804,8.750097549636848e-06,1.5481999980693217e-05,6.986013886489673e-06,8.53912570164539e-06,1.506532998973853e-05,6.8381762048375094e-06,8.734274160815403e-06,1.5488154531340115e-05,6.123538241809001e-06,33.17603287906509,0,0.0,0.0
